length_nm,ngm_id,nft
180,23.94,750900000
180,23.62,933100000
180,23.28,1153000000
180,22.92,1415000000
180,22.55,1724000000
180,22.15,2085000000
180,21.72,2502000000
180,21.27,2978000000
180,20.79,3518000000
180,20.27,4122000000
180,19.71,4792000000
180,19.12,5531000000
180,18.49,6336000000
180,17.83,7204000000
180,17.15,8132000000
180,16.44,9110000000
180,15.72,10130000000
180,14.99,11170000000
180,14.27,12220000000
180,13.55,13270000000
180,12.85,14300000000
180,12.17,15300000000
180,11.52,16260000000
180,10.89,17160000000
180,10.29,18000000000
180,9.726,18790000000
180,9.193,19500000000
180,8.694,20150000000
180,8.227,20740000000
180,7.791,21280000000
180,7.385,21750000000
180,7.008,22170000000
180,6.658,22550000000
180,6.333,22890000000
180,6.031,23190000000
180,5.751,23450000000
180,5.492,23690000000
180,5.251,23900000000
180,5.027,24080000000
180,4.819,24250000000
180,4.625,24400000000
180,4.445,24540000000
180,4.276,24660000000
180,4.119,24770000000
180,3.972,24870000000
180,3.834,24960000000
180,3.704,25050000000
180,3.583,25120000000
180,3.468,25190000000
180,3.36,25260000000
180,3.259,25320000000
180,3.162,25370000000
180,3.071,25420000000
180,2.985,25470000000
180,2.903,25510000000
180,2.826,25550000000
180,2.752,25590000000
180,2.681,25620000000
180,2.614,25650000000
180,2.55,25670000000
180,2.489,25700000000
180,2.43,25720000000
180,2.374,25740000000
180,2.321,25750000000
180,2.269,25760000000
180,2.22,25780000000
180,2.172,25780000000
180,2.126,25790000000
180,2.082,25790000000
180,2.04,25800000000
180,1.999,25800000000
180,1.96,25800000000
180,1.922,25790000000
180,1.886,25790000000
180,1.85,25780000000
180,1.816,25780000000
180,1.783,25770000000
180,1.751,25760000000
180,1.72,25740000000
180,1.69,25730000000
180,1.661,25720000000
360,24.07,218700000
360,23.83,269500000
360,23.58,329700000
360,23.31,400600000
360,23.03,483300000
360,22.71,579000000
360,22.36,689200000
360,21.96,815300000
360,21.51,959000000
360,21.0,1122000000
360,20.44,1306000000
360,19.83,1511000000
360,19.16,1737000000
360,18.46,1985000000
360,17.73,2252000000
360,16.98,2536000000
360,16.22,2834000000
360,15.46,3142000000
360,14.71,3458000000
360,13.98,3776000000
360,13.27,4095000000
360,12.59,4410000000
360,11.94,4720000000
360,11.32,5021000000
360,10.74,5314000000
360,10.2,5596000000
360,9.687,5867000000
360,9.209,6128000000
360,8.763,6377000000
360,8.347,6615000000
360,7.96,6843000000
360,7.6,7061000000
360,7.265,7270000000
360,6.953,7470000000
360,6.663,7662000000
360,6.393,7847000000
360,6.141,8025000000
360,5.906,8197000000
360,5.687,8364000000
360,5.481,8525000000
360,5.289,8681000000
360,5.109,8832000000
360,4.939,8979000000
360,4.78,9122000000
360,4.63,9262000000
360,4.488,9397000000
360,4.354,9529000000
360,4.228,9658000000
360,4.108,9784000000
360,3.994,9906000000
360,3.886,10030000000
360,3.783,10140000000
360,3.685,10260000000
360,3.592,10370000000
360,3.502,10470000000
360,3.417,10580000000
360,3.336,10680000000
360,3.257,10780000000
360,3.183,10880000000
360,3.111,10970000000
360,3.042,11060000000
360,2.975,11150000000
360,2.911,11240000000
360,2.85,11320000000
360,2.79,11410000000
360,2.733,11490000000
360,2.678,11560000000
360,2.625,11640000000
360,2.573,11710000000
360,2.523,11780000000
360,2.475,11850000000
360,2.429,11910000000
360,2.383,11980000000
360,2.34,12040000000
360,2.297,12100000000
360,2.256,12150000000
360,2.216,12210000000
360,2.177,12260000000
360,2.14,12310000000
360,2.103,12360000000
360,2.068,12410000000
540,23.78,155100000
540,23.53,187600000
540,23.27,225200000
540,22.97,268500000
540,22.63,317900000
540,22.25,374300000
540,21.81,438600000
540,21.31,511500000
540,20.76,593900000
540,20.15,686300000
540,19.49,789100000
540,18.79,902000000
540,18.06,1025000000
540,17.3,1156000000
540,16.54,1295000000
540,15.78,1440000000
540,15.03,1589000000
540,14.3,1742000000
540,13.58,1895000000
540,12.9,2049000000
540,12.25,2201000000
540,11.63,2351000000
540,11.05,2498000000
540,10.5,2642000000
540,9.987,2781000000
540,9.506,2917000000
540,9.058,3048000000
540,8.64,3176000000
540,8.25,3299000000
540,7.888,3419000000
540,7.551,3535000000
540,7.237,3647000000
540,6.945,3757000000
540,6.672,3864000000
540,6.419,3968000000
540,6.182,4070000000
540,5.96,4170000000
540,5.753,4268000000
540,5.559,4364000000
540,5.376,4458000000
540,5.205,4551000000
540,5.044,4642000000
540,4.892,4731000000
540,4.749,4820000000
540,4.613,4907000000
540,4.485,4992000000
540,4.363,5077000000
540,4.248,5160000000
540,4.138,5242000000
540,4.033,5323000000
540,3.934,5402000000
540,3.838,5481000000
540,3.747,5558000000
540,3.66,5634000000
540,3.577,5709000000
540,3.497,5782000000
540,3.421,5855000000
540,3.347,5926000000
540,3.276,5996000000
540,3.208,6065000000
540,3.142,6132000000
540,3.079,6199000000
540,3.018,6264000000
540,2.959,6328000000
540,2.902,6390000000
540,2.846,6452000000
540,2.793,6512000000
540,2.741,6571000000
540,2.691,6629000000
540,2.643,6686000000
540,2.596,6741000000
540,2.55,6795000000
540,2.506,6848000000
540,2.463,6900000000
540,2.421,6951000000
540,2.38,7000000000
540,2.341,7049000000
540,2.302,7096000000
540,2.265,7142000000
540,2.228,7187000000
540,2.193,7230000000
720,23.44,123500000
720,23.16,146900000
720,22.85,173600000
720,22.49,204000000
720,22.09,238500000
720,21.62,277700000
720,21.1,322000000
720,20.52,372100000
720,19.88,428000000
720,19.2,490100000
720,18.48,558000000
720,17.74,631400000
720,16.99,709700000
720,16.23,792300000
720,15.47,878100000
720,14.73,966400000
720,14.01,1056000000
720,13.32,1147000000
720,12.65,1237000000
720,12.02,1327000000
720,11.42,1415000000
720,10.86,1502000000
720,10.33,1588000000
720,9.838,1671000000
720,9.376,1752000000
720,8.944,1831000000
720,8.542,1908000000
720,8.168,1983000000
720,7.82,2056000000
720,7.496,2128000000
720,7.195,2198000000
720,6.914,2266000000
720,6.652,2333000000
720,6.407,2399000000
720,6.179,2464000000
720,5.965,2527000000
720,5.765,2590000000
720,5.578,2652000000
720,5.401,2714000000
720,5.236,2774000000
720,5.08,2834000000
720,4.932,2893000000
720,4.793,2952000000
720,4.662,3010000000
720,4.537,3067000000
720,4.419,3124000000
720,4.306,3180000000
720,4.199,3236000000
720,4.097,3291000000
720,4.0,3346000000
720,3.907,3400000000
720,3.818,3454000000
720,3.733,3507000000
720,3.651,3559000000
720,3.573,3611000000
720,3.497,3662000000
720,3.425,3713000000
720,3.355,3763000000
720,3.288,3812000000
720,3.224,3861000000
720,3.161,3909000000
720,3.101,3957000000
720,3.042,4004000000
720,2.986,4050000000
720,2.932,4095000000
720,2.879,4140000000
720,2.828,4184000000
720,2.778,4228000000
720,2.73,4271000000
720,2.683,4313000000
720,2.638,4354000000
720,2.593,4395000000
720,2.551,4435000000
720,2.509,4474000000
720,2.468,4513000000
720,2.429,4551000000
720,2.39,4589000000
720,2.353,4625000000
720,2.317,4661000000
720,2.281,4696000000
720,2.246,4731000000
900,23.16,99620000
900,22.85,117200000
900,22.49,137100000
900,22.07,159700000
900,21.6,185400000
900,21.08,214500000
900,20.49,247200000
900,19.85,283900000
900,19.17,324500000
900,18.45,369100000
900,17.71,417200000
900,16.95,468600000
900,16.2,522800000
900,15.44,579200000
900,14.71,637200000
900,13.99,696300000
900,13.3,755900000
900,12.64,815600000
900,12.01,875000000
900,11.42,933700000
900,10.86,991500000
900,10.34,1048000000
900,9.848,1104000000
900,9.39,1158000000
900,8.963,1211000000
900,8.565,1263000000
900,8.194,1314000000
900,7.849,1363000000
900,7.528,1412000000
900,7.229,1459000000
900,6.95,1506000000
900,6.691,1552000000
900,6.448,1598000000
900,6.222,1642000000
900,6.01,1686000000
900,5.812,1730000000
900,5.626,1773000000
900,5.451,1816000000
900,5.286,1859000000
900,5.131,1901000000
900,4.985,1942000000
900,4.847,1984000000
900,4.716,2025000000
900,4.593,2066000000
900,4.475,2106000000
900,4.363,2146000000
900,4.257,2186000000
900,4.155,2226000000
900,4.059,2266000000
900,3.966,2305000000
900,3.878,2343000000
900,3.793,2382000000
900,3.712,2420000000
900,3.634,2458000000
900,3.559,2496000000
900,3.487,2533000000
900,3.417,2570000000
900,3.351,2606000000
900,3.286,2642000000
900,3.224,2678000000
900,3.164,2714000000
900,3.106,2749000000
900,3.049,2783000000
900,2.995,2818000000
900,2.942,2851000000
900,2.891,2885000000
900,2.841,2918000000
900,2.793,2951000000
900,2.747,2983000000
900,2.701,3015000000
900,2.657,3046000000
900,2.614,3077000000
900,2.573,3108000000
900,2.532,3138000000
900,2.493,3167000000
900,2.454,3197000000
900,2.417,3226000000
900,2.38,3254000000
900,2.344,3282000000
900,2.31,3309000000
900,2.276,3336000000
1080,22.93,81060000
1080,22.58,94680000
1080,22.18,110100000
1080,21.73,127600000
1080,21.21,147500000
1080,20.64,169900000
1080,20.01,195000000
1080,19.33,223000000
1080,18.62,253700000
1080,17.89,287100000
1080,17.13,322900000
1080,16.38,360700000
1080,15.62,400200000
1080,14.88,441000000
1080,14.16,482700000
1080,13.47,524900000
1080,12.8,567200000
1080,12.17,609500000
1080,11.57,651400000
1080,11.01,692700000
1080,10.48,733400000
1080,9.981,773300000
1080,9.517,812400000
1080,9.085,850700000
1080,8.681,888200000
1080,8.306,924900000
1080,7.956,960800000
1080,7.631,996100000
1080,7.328,1031000000
1080,7.046,1065000000
1080,6.783,1099000000
1080,6.537,1132000000
1080,6.308,1164000000
1080,6.094,1197000000
1080,5.893,1229000000
1080,5.705,1261000000
1080,5.528,1292000000
1080,5.362,1324000000
1080,5.205,1355000000
1080,5.057,1386000000
1080,4.918,1416000000
1080,4.786,1447000000
1080,4.661,1477000000
1080,4.542,1508000000
1080,4.43,1538000000
1080,4.322,1568000000
1080,4.22,1597000000
1080,4.122,1627000000
1080,4.029,1656000000
1080,3.94,1686000000
1080,3.855,1715000000
1080,3.773,1744000000
1080,3.694,1772000000
1080,3.619,1801000000
1080,3.546,1829000000
1080,3.477,1857000000
1080,3.409,1885000000
1080,3.344,1913000000
1080,3.282,1941000000
1080,3.221,1968000000
1080,3.163,1995000000
1080,3.106,2022000000
1080,3.052,2048000000
1080,2.998,2074000000
1080,2.947,2100000000
1080,2.897,2126000000
1080,2.849,2152000000
1080,2.802,2177000000
1080,2.756,2202000000
1080,2.712,2226000000
1080,2.669,2251000000
1080,2.627,2275000000
1080,2.586,2299000000
1080,2.546,2322000000
1080,2.507,2346000000
1080,2.47,2369000000
1080,2.433,2391000000
1080,2.397,2414000000
1080,2.362,2436000000
1080,2.328,2457000000
1080,2.294,2479000000
1260,22.75,66690000
1260,22.37,77530000
1260,21.94,89830000
1260,21.45,103800000
1260,20.9,119600000
1260,20.29,137300000
1260,19.63,157200000
1260,18.93,179200000
1260,18.21,203100000
1260,17.46,229000000
1260,16.7,256500000
1260,15.95,285400000
1260,15.2,315400000
1260,14.47,346200000
1260,13.77,377500000
1260,13.09,409100000
1260,12.45,440700000
1260,11.84,472200000
1260,11.26,503300000
1260,10.71,534000000
1260,10.2,564200000
1260,9.728,593800000
1260,9.283,622900000
1260,8.869,651300000
1260,8.482,679300000
1260,8.123,706700000
1260,7.788,733600000
1260,7.477,760000000
1260,7.187,786000000
1260,6.916,811700000
1260,6.664,837100000
1260,6.429,862100000
1260,6.209,886900000
1260,6.003,911500000
1260,5.81,935900000
1260,5.629,960100000
1260,5.458,984200000
1260,5.298,1008000000
1260,5.147,1032000000
1260,5.004,1056000000
1260,4.87,1079000000
1260,4.742,1103000000
1260,4.621,1126000000
1260,4.506,1149000000
1260,4.396,1173000000
1260,4.292,1196000000
1260,4.193,1219000000
1260,4.098,1242000000
1260,4.008,1264000000
1260,3.921,1287000000
1260,3.838,1310000000
1260,3.758,1332000000
1260,3.681,1354000000
1260,3.608,1377000000
1260,3.537,1399000000
1260,3.469,1421000000
1260,3.403,1443000000
1260,3.339,1464000000
1260,3.278,1486000000
1260,3.219,1507000000
1260,3.162,1528000000
1260,3.106,1549000000
1260,3.052,1570000000
1260,3.0,1591000000
1260,2.95,1612000000
1260,2.901,1632000000
1260,2.854,1652000000
1260,2.807,1672000000
1260,2.762,1692000000
1260,2.719,1712000000
1260,2.676,1731000000
1260,2.635,1750000000
1260,2.595,1769000000
1260,2.556,1788000000
1260,2.518,1807000000
1260,2.48,1825000000
1260,2.444,1843000000
1260,2.409,1861000000
1260,2.374,1879000000
1260,2.341,1897000000
1260,2.308,1914000000
