Vgs,gm/id ((length=1.8e-07)),gmro ((length=1.8e-07)),gm/id ((length=3.6e-07)),gmro ((length=3.6e-07)),gm/id ((length=5.4e-07)),gmro ((length=5.4e-07)),gm/id ((length=7.2e-07)),gmro ((length=7.2e-07)),gm/id ((length=9e-07)),gmro ((length=9e-07)),gm/id ((length=1.08e-06)),gmro ((length=1.08e-06)),gm/id ((length=1.26e-06)),gmro ((length=1.26e-06))
0.0,33.26283704,32.40465429,33.53735622,39.10799091,33.65584882,43.353371,33.80123696,46.72993404,33.88713241,49.49146448,33.95771805,51.89304304,34.02267793,54.04986171
0.1,32.98500116,32.21144304,33.17524906,38.83286942,33.23384883,43.01614077,33.33586163,46.34268036,33.38691503,49.05844311,33.42212531,51.41115878,33.44991853,53.51487059
0.2,31.66954614,31.34644158,31.45891865,37.60333749,31.24327885,41.51608728,31.13105487,44.60547587,31.01990954,47.11527047,30.90110571,49.26160641,30.77501522,51.1520102
0.3,27.35258903,28.75809327,26.46138165,34.5439207,25.91153984,38.30228069,25.5358051,41.25567662,25.25568369,43.68764936,24.98467836,45.76532942,24.71288002,47.59032234
0.4,20.76553381,25.59324878,20.05905033,32.60677372,19.53153007,37.25445785,19.11763607,40.80028838,18.8097714,43.73427027,18.5153909,46.24436313,18.22690002,48.4511043
0.5,15.2246168,23.94298025,13.98331551,30.78033443,13.37037626,35.45997524,12.97057198,39.10938713,12.68971838,42.16957843,12.43456404,44.77127221,12.19296192,47.03222327
0.6,10.0910654,20.04335309,9.17126042,25.7794821,8.848576493,30.17277295,8.62201559,33.67475423,8.464419661,36.65257942,8.309709815,39.15257444,8.154432456,41.27851099
0.7,6.623503443,15.1390597,6.271970278,19.97270853,6.193868685,23.82261496,6.091818376,26.89926817,6.01711128,29.51802698,5.926025563,31.66178401,5.82292468,33.40806218
0.8,4.600428096,11.01985763,4.555641813,14.59032381,4.593685012,17.01736875,4.551372857,18.87683537,4.516029166,20.34976787,4.455552822,21.46402545,4.377820081,22.26227975
0.9,3.366470013,7.827321585,3.428317454,9.332250131,3.459673988,8.832348822,3.422580304,8.763298236,3.392283961,8.718094091,3.345231655,8.773430809,3.285310819,8.855581081
1.0,2.541514942,5.28276367,2.552147275,4.588076264,2.4960899,3.549418075,2.458207025,3.392322624,2.433246419,3.318751982,2.403727041,3.322714496,2.367935375,3.360089835
