gm/Id (180 nm) [1/V],ft (180 nm) [Hz],gm/Id (360 nm) [1/V],ft (360 nm) [Hz],gm/Id (540 nm) [1/V],ft (540 nm) [Hz],gm/Id (720 nm) [1/V],ft (720 nm) [Hz],gm/Id (900 nm) [1/V],ft (900 nm) [Hz],gm/Id (1080 nm) [1/V],ft (1080 nm) [Hz],gm/Id (1260 nm) [1/V],ft (1260 nm) [Hz]
2.319256856,18987488203.0,2.229650474,6527972790.0,2.190941921,3316987067.0,2.189102651,2002998183.0,2.184326673,1342935837.0,2.172211784,962442373.8,2.154784239,722859732.0
3.029637527,19108302492.0,2.91278025,6635995696.0,2.875153811,3402687432.0,2.872015005,2055240927.0,2.864031241,1378417850.0,2.84651549,989240123.5,2.822387857,744683399.1
4.080182383,18282003429.0,3.844503614,6310894792.0,3.783554626,3239528412.0,3.764003087,1949924658.0,3.743647852,1305855894.0,3.715588069,937983744.5,3.682158853,707878956.2
5.887425237,16540626644.0,5.322016112,5648116983.0,5.147992311,2874500522.0,5.062051128,1716400452.0,4.997219435,1144611682.0,4.937349846,821529915.1,4.880213868,620949774.7
9.572609473,13448662117.0,8.288468723,4712087965.0,7.811802931,2393994768.0,7.541831235,1422392448.0,7.353003721,946019916.7,7.20190484,678877300.5,7.074328786,513915638.2
17.04526936,7607561616.0,15.10483743,3073526914.0,14.08923016,1636358740.0,13.42478508,995721443.4,12.94932099,672802423.4,12.57122559,488992381.1,12.25657808,374234783.3
25.27678135,1850200939.0,24.87065916,873060965.2,24.26815947,514848849.1,23.730734,338309676.0,23.27267837,242088656.6,22.86291461,184552876.5,22.49099926,147179468.3
30.47474729,204756624.2,30.33990115,108047199.1,30.07385708,66132761.44,29.90747302,44755061.69,29.75510068,32818840.04,29.61975612,25622516.26,29.49959069,20925175.62
33.06175761,10623790.53,33.39300322,7075820.779,33.42974814,4930974.317,33.4842039,3574648.592,33.48743753,2744051.637,33.47218408,2211296.452,33.44993824,1848070.599
34.06987106,375323.9203,34.58647444,253955.3299,34.77303378,185580.7223,34.94407365,139098.6891,35.04112334,110174.1731,35.10472569,91103.57355,35.15036674,77719.24917
34.37907682,11859.61908,34.97441654,7515.951821,35.20430354,5371.21528,35.40016129,3955.269228,35.5176297,3104.99708,35.59720288,2554.178074,35.65541906,2171.401769
